vehicle_brand,model_name,manufacturing_year,kilometres_driven,vehicle_condition,vehicle_type,body_type,engine_capacity,engine_cylinders,transmission_type,drive_type,fuel_type,fuel_consumption,doors,seats,location,state,vehicle_age,km_per_year,desc_len,is_new_vehicle,fuel_efficiency_score,engine_power_index,brand_tier,location_coarse,model_name_freq,location_coarse_freq
toyota,corolla,2008.0,109000.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,7.7,5.0,5.0,"minchinbury, nsw",nsw,18.0,6055.555555555556,26,0,0.12987012987012986,16.0,mid,"minchinbury,",0.018691588785046728,0.05846820150444495
mazda,cx-5,2013.0,143966.0,used,suv,suv,4.0,4.0,automatic,awd,diesel,5.7,4.0,5.0,"cardiff, nsw",nsw,13.0,11074.307692307691,34,0,0.17543859649122806,16.0,budget,"cardiff,",0.010713471620697515,0.016070207431046275
hyundai,tucson,2017.0,74878.0,used,suv,suv,4.0,4.0,automatic,front,unleaded,7.9,4.0,5.0,other,nsw,9.0,8319.777777777777,34,0,0.12658227848101264,16.0,budget,other,0.009915659904262594,0.64497378618646
toyota,hilux,2011.0,198324.0,used,ute / tray,ute / tray,6.0,6.0,automatic,4wd,unleaded,13.0,4.0,5.0,"wangara, wa",wa,15.0,13221.6,27,0,0.07692307692307693,36.0,mid,"wangara,",0.027467517665830863,0.016868019147481195
kia,grand,2009.0,105213.0,used,wagon,wagon,6.0,6.0,automatic,front,unleaded,12.8,4.0,8.0,"moorabbin, vic",vic,17.0,6189.0,27,0,0.078125,36.0,budget,"moorabbin,",0.01641212673808981,0.011853202644175975
toyota,landcruiser,2013.0,185886.0,used,suv,suv,4.0,4.0,automatic,4wd,diesel,8.5,4.0,7.0,other,wa,13.0,14298.923076923076,39,0,0.11764705882352941,16.0,mid,other,0.02279462046956918,0.64497378618646
volkswagen,golf,2016.0,203863.0,used,wagon,wagon,4.0,4.0,automatic,front,premium,5.4,4.0,5.0,other,qld,10.0,20386.3,37,0,0.18518518518518517,16.0,mid,other,0.012081148848871666,0.64497378618646
other,other,2015.0,161807.0,used,wagon,wagon,4.0,4.0,automatic,rear,unleaded,11.7,4.0,7.0,other,qld,11.0,14709.727272727272,21,0,0.08547008547008547,16.0,premium,other,0.398677912012765,0.64497378618646
holden,other,2010.0,176052.0,used,sedan,sedan,8.0,8.0,automatic,rear,premium,14.6,4.0,5.0,other,nsw,16.0,11003.25,20,0,0.0684931506849315,64.0,budget,other,0.398677912012765,0.64497378618646
isuzu,d-max,2012.0,257027.0,used,adelaide vehicle centre - clearance centre,ute / tray,4.0,4.0,automatic,other,diesel,8.0,4.0,5.0,other,sa,14.0,18359.071428571428,19,0,0.125,16.0,premium,other,0.007978117164349213,0.64497378618646
toyota,kluger,2013.0,208478.0,used,suv,suv,6.0,6.0,automatic,4wd,unleaded,11.6,4.0,7.0,"victoria park, wa",wa,13.0,16036.76923076923,31,0,0.08620689655172414,36.0,mid,victoria,0.0111693640300889,0.00945976749487121
honda,cr-v,2013.0,99133.0,used,suv,suv,4.0,4.0,automatic,4wd,unleaded,8.7,4.0,5.0,"ringwood, vic",vic,13.0,7625.615384615385,27,0,0.1149425287356322,16.0,budget,"ringwood,",0.006268520629131525,0.02062913152496011
ford,territory,2016.0,199971.0,used,suv,suv,6.0,6.0,automatic,rear,unleaded,10.2,4.0,5.0,other,vic,10.0,19997.1,28,0,0.09803921568627452,36.0,mid,other,0.012081148848871666,0.64497378618646
subaru,other,2014.0,274000.0,used,wagon,wagon,4.0,4.0,automatic,awd,premium,8.2,4.0,5.0,"granville, nsw",nsw,12.0,22833.333333333332,32,0,0.12195121951219513,16.0,mid,"granville,",0.398677912012765,0.012992933667654433
other,other,2009.0,100959.0,used,wagon,wagon,6.0,6.0,automatic,front,premium,10.3,4.0,7.0,"minchinbury, nsw",nsw,17.0,5938.764705882353,22,0,0.0970873786407767,36.0,premium,"minchinbury,",0.398677912012765,0.05846820150444495
hyundai,tucson,2016.0,101536.0,used,suv,suv,4.0,4.0,automatic,awd,unleaded,7.7,4.0,5.0,other,vic,10.0,10153.6,38,0,0.12987012987012986,16.0,budget,other,0.009915659904262594,0.64497378618646
mazda,3,2015.0,80000.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,5.8,5.0,5.0,other,vic,11.0,7272.727272727273,16,0,0.1724137931034483,16.0,budget,other,0.019603373603829497,0.64497378618646
kia,other,2017.0,44207.0,used,wagon,wagon,4.0,4.0,automatic,front,unleaded,7.9,4.0,5.0,"moorabbin, vic",vic,9.0,4911.888888888889,16,0,0.12658227848101264,16.0,budget,"moorabbin,",0.398677912012765,0.011853202644175975
hyundai,accent,2016.0,98000.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,6.2,5.0,5.0,other,qld,10.0,9800.0,26,0,0.16129032258064516,16.0,budget,other,0.006268520629131525,0.64497378618646
honda,other,2012.0,151000.0,used,wagon,wagon,4.0,4.0,automatic,front,unleaded,8.9,4.0,7.0,other,nsw,14.0,10785.714285714286,18,0,0.11235955056179775,16.0,budget,other,0.398677912012765,0.64497378618646
toyota,camry,2017.0,118993.0,used,sedan,sedan,4.0,4.0,automatic,front,unleaded,7.8,4.0,5.0,other,vic,9.0,13221.444444444445,26,0,0.12820512820512822,16.0,mid,other,0.010713471620697515,0.64497378618646
peugeot,other,2006.0,203090.0,used,wagon,wagon,4.0,4.0,automatic,front,diesel,6.9,4.0,5.0,other,vic,20.0,10154.5,34,0,0.14492753623188406,16.0,budget,other,0.398677912012765,0.64497378618646
mitsubishi,outlander,2010.0,117999.0,used,suv,suv,6.0,6.0,automatic,4wd,unleaded,10.4,4.0,5.0,"minchinbury, nsw",nsw,16.0,7374.9375,28,0,0.09615384615384615,36.0,mid,"minchinbury,",0.010941417825393207,0.05846820150444495
holden,barina,2010.0,137821.0,used,sedan,sedan,4.0,4.0,automatic,front,unleaded,7.6,4.0,5.0,other,nsw,16.0,8613.8125,18,0,0.13157894736842105,16.0,budget,other,0.006496466833827217,0.64497378618646
suzuki,other,2011.0,158817.0,used,hatchback,hatchback,4.0,4.0,automatic,front,unleaded,6.2,5.0,5.0,"minchinbury, nsw",nsw,15.0,10587.8,20,0,0.16129032258064516,16.0,budget,"minchinbury,",0.398677912012765,0.05846820150444495
honda,other,2016.0,79931.0,used,suv,suv,4.0,4.0,automatic,front,unleaded,6.9,4.0,5.0,other,qld,10.0,7993.1,21,0,0.14492753623188406,16.0,budget,other,0.398677912012765,0.64497378618646
ford,focus,2016.0,117686.0,used,hatchback,hatchback,4.0,4.0,manual,front,premium,7.3,5.0,5.0,"liverpool, nsw",nsw,10.0,11768.6,19,0,0.136986301369863,16.0,mid,"liverpool,",0.008775928880784135,0.012992933667654433
subaru,other,2002.0,198037.0,used,suv,suv,4.0,4.0,automatic,awd,unleaded,10.1,4.0,5.0,"minchinbury, nsw",nsw,24.0,8251.541666666666,19,0,0.09900990099009901,16.0,mid,"minchinbury,",0.398677912012765,0.05846820150444495
bmw,other,2015.0,113298.0,used,suv,suv,4.0,4.0,automatic,4wd,premium,7.3,4.0,5.0,other,nsw,11.0,10299.818181818182,22,0,0.136986301369863,16.0,premium,other,0.398677912012765,0.64497378618646
toyota,landcruiser,2008.0,151370.0,used,suv,suv,8.0,8.0,manual,4wd,diesel,11.9,4.0,5.0,other,vic,18.0,8409.444444444445,33,0,0.08403361344537814,64.0,mid,other,0.02279462046956918,0.64497378618646
other,other,2011.0,96705.0,used,ute / tray,ute / tray,4.0,4.0,manual,rear,unleaded,10.7,4.0,5.0,other,qld,15.0,6447.0,26,0,0.09345794392523366,16.0,premium,other,0.398677912012765,0.64497378618646
toyota,other,2013.0,67685.0,used,coupe,coupe,4.0,4.0,manual,rear,premium,7.8,2.0,4.0,other,qld,13.0,5206.538461538462,18,0,0.12820512820512822,16.0,mid,other,0.398677912012765,0.64497378618646
